county,year,total_enrollees,population,per_capita_enrollment,minimum_wage
Tehama,2020,254276,65690,3.870847922058152,12
Tehama,2021,282013,65467,4.30771228252402,13
Tehama,2022,306268,65269,4.692396083898942,14
Tehama,2023,352162,64959,5.421296510106375,15.5
Tehama,2024,369057,64451,5.7261640626212165,16
Trinity,2016,54563,12828,4.253429996881821,10
Trinity,2017,53117,12726,4.173895961024674,10.5
Trinity,2018,52113,12567,4.146813081881117,11
Trinity,2019,50420,12285,4.104192104192104,12
Trinity,2020,54267,16095,3.371668219944082,12
Trinity,2021,61481,16102,3.818221338964104,13
Trinity,2022,66480,15777,4.2137288457881725,14
Trinity,2023,69989,15684,4.462445804641673,15.5
Trinity,2024,66513,15642,4.2522056003068665,16
Tulare,2016,0,459235,0,10
Tulare,2017,0,462308,0,10.5
Tulare,2018,1031194,464589,2.219583330642783,11
Tulare,2019,2450108,466195,5.2555432812449725,12
Tulare,2020,2512063,473944,5.300337170636193,12
Tulare,2021,2697199,476939,5.655228446405096,13
Tulare,2022,2926865,478288,6.119461496002408,14
Tulare,2023,3239729,480747,6.738947928952235,15.5
Tulare,2024,3412209,483546,7.056637837971982,16
Tuolumne,2016,134982,53770,2.5103589362097822,10
Tuolumne,2017,131400,53976,2.434415295686972,10.5
Tuolumne,2018,127427,54387,2.342967988673764,11
Tuolumne,2019,122032,54478,2.2400234957230443,12
Tuolumne,2020,124179,55397,2.2416195822878495,12
Tuolumne,2021,140393,55126,2.546765591553895,13
Tuolumne,2022,153966,53951,2.8538117921817947,14
Tuolumne,2023,180731,54123,3.339264268425623,15.5
Tuolumne,2024,172537,53893,3.2014732896665614,16
Ventura,2016,2487480,847323,2.9356927641525132,10
Ventura,2017,2464631,849044,2.902830713131475,10.5
Ventura,2018,2403773,848142,2.8341633830184096,11
Ventura,2019,2358449,846006,2.7877450041725473,12
Ventura,2020,2427030,843808,2.87628228222534,12
Ventura,2021,2672157,840009,3.1811052024442596,13
Ventura,2022,2865760,835032,3.4319163816476492,14
Ventura,2023,3018181,833071,3.622957707086191,15.5
Ventura,2024,3077173,835427,3.683353542559673,16
Yolo,2016,642710,215627,2.9806564113028515,10
Yolo,2017,646963,218477,2.961240771339775,10.5
Yolo,2018,639338,220118,2.9045239371609775,11
Yolo,2019,614315,220500,2.7860090702947846,12
Yolo,2020,616320,217768,2.830167885088718,12
Yolo,2021,673761,213545,3.1551242126952164,13
Yolo,2022,724627,223338,3.24453071129857,14
Yolo,2023,755723,222919,3.3901237669287947,15.5
Yolo,2024,710180,225251,3.1528383891747427,16
Yuba,2016,300467,74952,4.008792293734657,10
Yuba,2017,308168,76578,4.0242367259526235,10.5
Yuba,2018,305291,77557,3.9363435924545818,11
Yuba,2019,301222,78668,3.829028321553872,12
Yuba,2020,312556,82001,3.8116120535115425,12
Yuba,2021,342690,83035,4.127054856385861,13
Yuba,2022,376977,84335,4.469994664137072,14
Yuba,2023,425969,85695,4.970756753602894,15.5
Yuba,2024,439816,87469,5.028250008574466,16
