county,fips,longitude,latitude,consortium,year,elderly calfresh,age 18-59 calfresh,children calfresh,esl calfresh,wic recipients reachable,pct receiving wic,total population,elderly population,children population,esl population,ssi recipients,total_calfresh,calfresh_per_capita,unnamed: 0,countyfip,pct_foodstmp,median_income,count
santa barbara,US-06083,-120.0351675,34.743715,CalWIN,2017,2583,14844,20842,14114.0,,,451688,91564,100702,45877.0,7869.0,38269,0.08472441154070952,131,83,0.893985490287854,90900.0,4273
santa clara,US-06085,-121.6161794,37.18939,CalWIN,2017,10140,37812,43581,38302.0,,,1952286,379958,444642,169331.0,40724.0,91533,0.04688503631127816,132,85,0.944159602010254,146150.0,19699
santa cruz,US-06087,-122.0401593,37.06834,CalWIN,2017,2478,11573,11455,8750.0,,,278335,63450,58310,20196.0,4625.0,25506,0.09163777462410405,133,87,0.906021155410903,113000.0,2458
shasta,US-06089,-122.0883555,40.735175,C-IV,2017,1672,12855,9275,413.0,,,178359,48890,37586,2176.0,9049.0,23802,0.1334499520629741,134,89,0.870111057460164,65000.0,2071
solano,US-06095,-121.6688337,38.2894915,CalWIN,2017,3122,19457,18023,6195.0,,,439320,96492,100669,20285.0,11067.0,40602,0.09242010379677684,135,95,0.901884191176471,99000.0,4352
sonoma,US-06097,-122.7518161,38.481733,CalWIN,2017,3560,13464,14220,9052.0,,,507323,135829,98139,26059.0,8029.0,31244,0.06158601127881054,136,97,0.937432810148355,99000.0,4651
stanislaus,US-06099,-120.8981857,37.606095,C-IV,2017,4760,38928,40179,15443.0,,,551712,99859,145609,49236.0,19222.0,83867,0.15201228177019893,137,99,0.822241122687646,68000.0,4703
tulare,US-06107,-119.0889841,36.266965,CalWIN,2017,5907,49992,64931,38463.0,,,473308,75894,144428,61937.0,17521.0,120830,0.2552883112053885,138,107,0.72173124858373,53800.0,4413
ventura,US-06111,-119.0838699,34.47326,CalWIN,2017,6080,29547,35864,25344.0,,,858585,183314,197824,77750.0,14726.0,71491,0.08326607150136561,139,111,0.899599340089559,98000.0,8486
yolo,US-06113,-121.9008022,38.619495,CalWIN,2017,1435,9803,8311,4687.0,,,220171,38002,49156,13088.0,5077.0,19549,0.08879007680393876,140,113,0.891878425510713,90000.0,2007
alameda,US-06001,-121.7871814,37.680185,CalWIN,2018,11501,47884,44043,30654.0,,,1660202,339021,351696,130524.0,44220.0,103428,0.06229844320148994,142,1,0.93234487186971,135000.0,17131
butte,US-06007,-121.5660076,39.723785,C-IV,2018,2273,17305,11692,2010.0,,,227621,57350,46448,5363.0,10182.75,31270,0.1373774827454409,143,7,0.859307359307359,67000.0,2310
contra costa,US-06013,-121.717604,37.888418,CalWIN,2018,5269,26873,29860,12644.0,,,1149363,266792,251554,69152.0,22931.166666666668,62002,0.05394466326130213,144,13,0.933497294638465,124800.0,10165
el dorado,US-06017,-120.4259625,38.78496,C-IV,2018,1272,5953,4054,665.0,,,188399,55406,35745,3079.0,2766.6666666666665,11279,0.059867621378032795,145,17,0.948632049134562,105000.0,1791
fresno,US-06019,-120.862059,36.74633,CalWIN,2018,9095,90733,112941,48747.0,,,1007229,175008,282393,108140.0,41276.41666666666,212769,0.21124193207304395,146,19,0.789638231353283,66000.0,8956
humboldt,US-06023,-123.959972,40.73356,C-IV,2018,1663,11759,6579,756.0,,,136002,34375,28453,2500.0,5039.0,20001,0.14706401376450345,147,23,0.831703910614525,61500.0,1432
imperial,US-06025,-115.058652,33.02615,C-IV,2018,3134,18206,18884,20717.0,,,190624,34300,55371,34263.0,9948.583333333334,40224,0.21101225449051536,148,25,0.791372549019608,67500.0,1275
kern,US-06029,-118.4426011,35.29441,C-IV,2018,8501,64269,83589,33485.0,,,905801,146852,256078,84735.0,31037.58333333333,156359,0.17261959304527152,149,29,0.802650327728698,66180.0,7018
kings,US-06031,-119.6135104,36.138775,C-IV,2018,1183,10288,11878,5024.0,,,151662,22623,46215,13829.0,4571.916666666667,23349,0.15395418760137675,150,31,0.859394703656999,81100.0,1586
los angeles,US-06037,-117.9879672,34.26394,LRS,2018,91132,486906,520268,363721.0,,,10283729,2056614,2298592,1297024.0,366051.5,1098306,0.10680036395358143,151,37,0.8930376523136,85000.0,102092
madera,US-06039,-119.84174,37.27052,C-IV,2018,1154,9834,15793,8581.0,,,158894,31061,42250,18907.0,4441.333333333333,26781,0.16854632648180548,152,39,0.81893313298272,76000.0,1331
marin,US-06041,-122.870429,38.068145,C-IV,2018,1488,4205,4263,3685.0,,,263886,79357,52222,9959.0,2577.9166666666665,9956,0.03772841302683735,153,41,0.978444632290786,175500.0,2366
merced,US-06047,-120.1246993,37.18687,C-IV,2018,2557,21890,27778,12859.0,,,279977,44559,80521,34066.0,10384.333333333334,52225,0.18653317951117412,154,47,0.80514096185738,66300.0,2412
napa,US-06055,-122.5128064,38.509635,C-IV,2018,633,2243,3004,2117.0,,,141294,36069,29273,11182.0,1867.6666666666667,5880,0.04161535521678203,155,55,0.940727699530516,109000.0,1704
orange,US-06059,-117.8002615,33.66707,CalWIN,2018,22192,87290,112029,90413.0,,,3221103,674940,724718,304940.0,67075.33333333333,221511,0.06876867954858941,156,59,0.923104872006606,107000.0,30275
placer,US-06061,-120.7858989,39.013999,CalWIN,2018,1828,7315,5725,1426.0,,,389532,104700,76338,6453.0,4988.583333333333,14868,0.03816887957857121,157,61,0.961058045554739,109600.0,4083
riverside,US-06065,-115.0250859,33.752845,C-IV,2018,18050,111075,125773,49247.0,,,2415955,497063,601945,181074.0,57936.41666666666,254898,0.10550610421137811,158,65,0.89401042807694,83000.0,22823
