County,FIPS,Longitude,Latitude,Consortium,Year,Elderly CalFresh,Age 18-59 CalFresh,Children CalFresh,ESL CalFresh,WIC Recipients Reachable,Pct Receiving WIC,Total Population,Elderly Population,Children Population,ESL Population,SSI Recipients
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2015,310,2688,3222,1760.0,,,57584,10257,14800,5268.0,900.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2015,18789,187298,201521,71699.0,,,2129851,332066,579387,168647.0,68072.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,2015,21309,141245,139244,102557.0,,,3275084,613778,772594,231525.0,76341.0
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2015,6983,27846,19320,21618.0,,,863108,183363,121514,100767.0,37327.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2015,5030,55281,64478,24104.0,,,727547,123054,198377,63826.0,27357.0
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2015,1443,9512,8334,3385.0,,,276844,73091,49981,10271.0,4209.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2015,3523,12023,17117,14437.0,,,764379,166867,161548,58320.0,10434.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2015,1754,14238,21903,14578.0,,,444900,86387,100349,48492.0,8191.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2015,9780,47649,54927,48326.0,,,1915102,350400,442255,176469.0,42694.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2015,2023,11558,12562,9634.0,,,274697,58383,57881,21297.0,4931.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,2015,1342,14396,10429,500.0,,,178777,47459,37929,2477.0,9252.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,2015,35,204,93,,,,3147,1199,469,36.0,85.0
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2015,414,3801,2949,192.0,,,44500,14392,8777,661.0,2389.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2015,2537,22766,20554,6980.0,,,429267,88191,100373,21251.0,11654.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2015,3199,16968,17640,10913.0,,,501182,125873,99911,29579.0,8388.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2015,4006,45098,46331,17652.0,,,538372,93026,144320,48625.0,19884.0
Sutter,US-06101,-121.714735,39.02038,C-IV,2015,503,6155,6729,2323.0,,,97618,19092,25208,8773.0,3793.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,2015,468,5327,5161,1273.0,,,63970,15536,15464,2169.0,3068.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,2015,119,1155,639,,,,13562,4842,2195,100.0,643.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2015,5048,53491,69084,41179.0,,,463291,71023,144018,58345.0,17848.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2015,456,3348,2063,90.0,,,54525,18311,8920,577.0,1615.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2015,5305,32599,40201,28284.0,,,852013,170129,201282,85361.0,14875.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2015,1268,10532,9376,5571.0,,,212686,35269,47469,13104.0,5260.0
Yuba,US-06115,-121.499162,39.278915,C-IV,2015,471,6984,6495,1485.0,,,75579,12715,21542,3808.0,3710.0
Statewide,,,,,2016,275731,1953549,2130350,1269610.0,148957.0,,39354432,7672542,9197902,3750777.0,1171401.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2016,10695,54015,54246,37866.0,4039.0,0.647727979,1637712,316180,345421,142005.0,46141.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2016,15,90,45,0.0,,,1148,378,208,11.0,34.0
Amador,US-06005,-120.238969,38.46328,C-IV,2016,293,1848,1235,100.0,80.0,0.620772947,37191,12901,5644,570.0,677.0
Butte,US-06007,-121.5660076,39.723785,C-IV,2016,1940,18169,12890,2410.0,748.0,0.629648116,225125,55290,45620,7445.0,10550.0
