Year,FIPS,Race,AgeGroup,Population
2016,6045,MR NH,0–18,1613
2016,6045,MR NH,19–34,910
2016,6045,MR NH,35–64,1382
2016,6045,MR NH,65+,504
2016,6045,NHPI NH,0–18,20
2016,6045,NHPI NH,19–34,18
2016,6045,NHPI NH,35–64,52
2016,6045,NHPI NH,65+,12
2016,6045,White NH,0–18,9061
2016,6045,White NH,19–34,8013
2016,6045,White NH,35–64,23831
2016,6045,White NH,65+,15629
2016,6047,AIAN NH,0–18,201
2016,6047,AIAN NH,19–34,260
2016,6047,AIAN NH,35–64,460
2016,6047,AIAN NH,65+,173
2016,6047,Asian NH,0–18,4856
2016,6047,Asian NH,19–34,5599
2016,6047,Asian NH,35–64,5003
2016,6047,Asian NH,65+,1700
2016,6047,Black NH,0–18,1969
2016,6047,Black NH,19–34,1714
2016,6047,Black NH,35–64,2595
2016,6047,Black NH,65+,915
2016,6047,Hispanic,0–18,64781
2016,6047,Hispanic,19–34,44982
2016,6047,Hispanic,35–64,53455
2016,6047,Hispanic,65+,10812
2016,6047,MR NH,0–18,2658
2016,6047,MR NH,19–34,1205
2016,6047,MR NH,35–64,1217
2016,6047,MR NH,65+,304
2016,6047,NHPI NH,0–18,127
2016,6047,NHPI NH,19–34,149
2016,6047,NHPI NH,35–64,221
2016,6047,NHPI NH,65+,63
2016,6047,White NH,0–18,13778
2016,6047,White NH,19–34,11959
2016,6047,White NH,35–64,25811
2016,6047,White NH,65+,11734
2016,6049,AIAN NH,0–18,92
2016,6049,AIAN NH,19–34,79
2016,6049,AIAN NH,35–64,137
2016,6049,AIAN NH,65+,75
2016,6049,Asian NH,0–18,9
2016,6049,Asian NH,19–34,19
2016,6049,Asian NH,35–64,37
2016,6049,Asian NH,65+,11
2016,6049,Black NH,0–18,8
2016,6049,Black NH,19–34,28
2016,6049,Black NH,35–64,33
2016,6049,Black NH,65+,10
2016,6049,Hispanic,0–18,972
2016,6049,Hispanic,19–34,464
2016,6049,Hispanic,35–64,647
2016,6049,Hispanic,65+,182
2016,6049,MR NH,0–18,102
2016,6049,MR NH,19–34,79
2016,6049,MR NH,35–64,105
2016,6049,MR NH,65+,45
2016,6049,NHPI NH,0–18,5
2016,6049,NHPI NH,19–34,5
2016,6049,NHPI NH,35–64,14
2016,6049,NHPI NH,65+,4
2016,6049,White NH,0–18,1242
2016,6049,White NH,19–34,580
2016,6049,White NH,35–64,2355
2016,6049,White NH,65+,1456
2016,6051,AIAN NH,0–18,55
2016,6051,AIAN NH,19–34,43
2016,6051,AIAN NH,35–64,101
2016,6051,AIAN NH,65+,42
2016,6051,Asian NH,0–18,35
2016,6051,Asian NH,19–34,61
2016,6051,Asian NH,35–64,129
2016,6051,Asian NH,65+,29
2016,6051,Black NH,0–18,5
2016,6051,Black NH,19–34,36
2016,6051,Black NH,35–64,13
2016,6051,Black NH,65+,10
2016,6051,Hispanic,0–18,1439
2016,6051,Hispanic,19–34,1113
2016,6051,Hispanic,35–64,844
2016,6051,Hispanic,65+,110
2016,6051,MR NH,0–18,157
2016,6051,MR NH,19–34,122
2016,6051,MR NH,35–64,168
2016,6051,MR NH,65+,36
2016,6051,NHPI NH,0–18,2
2016,6051,NHPI NH,19–34,1
2016,6051,NHPI NH,35–64,14
2016,6051,NHPI NH,65+,1
2016,6051,White NH,0–18,1380
2016,6051,White NH,19–34,2099
2016,6051,White NH,35–64,4075
2016,6051,White NH,65+,1269
2016,6053,AIAN NH,0–18,211
2016,6053,AIAN NH,19–34,321
2016,6053,AIAN NH,35–64,667
2016,6053,AIAN NH,65+,257
2016,6053,Asian NH,0–18,4090
2016,6053,Asian NH,19–34,5602
2016,6053,Asian NH,35–64,11383
2016,6053,Asian NH,65+,4892
2016,6053,Black NH,0–18,1647
2016,6053,Black NH,19–34,2548
2016,6053,Black NH,35–64,5287
2016,6053,Black NH,65+,636
2016,6053,Hispanic,0–18,94382
2016,6053,Hispanic,19–34,68016
2016,6053,Hispanic,35–64,80738
2016,6053,Hispanic,65+,12556
2016,6053,MR NH,0–18,5218
2016,6053,MR NH,19–34,3434
2016,6053,MR NH,35–64,3611
2016,6053,MR NH,65+,976
2016,6053,NHPI NH,0–18,331
2016,6053,NHPI NH,19–34,508
2016,6053,NHPI NH,35–64,888
2016,6053,NHPI NH,65+,259
2016,6053,White NH,0–18,19013
2016,6053,White NH,19–34,25491
2016,6053,White NH,35–64,52776
2016,6053,White NH,65+,31378
2016,6055,AIAN NH,0–18,70
2016,6055,AIAN NH,19–34,114
2016,6055,AIAN NH,35–64,257
2016,6055,AIAN NH,65+,122
2016,6055,Asian NH,0–18,2122
2016,6055,Asian NH,19–34,2318
2016,6055,Asian NH,35–64,5014
2016,6055,Asian NH,65+,1543
2016,6055,Black NH,0–18,544
2016,6055,Black NH,19–34,577
2016,6055,Black NH,35–64,1122
2016,6055,Black NH,65+,292
2016,6055,Hispanic,0–18,16037
2016,6055,Hispanic,19–34,12029
2016,6055,Hispanic,35–64,15391
2016,6055,Hispanic,65+,2445
2016,6055,MR NH,0–18,2055
2016,6055,MR NH,19–34,1286
2016,6055,MR NH,35–64,1546
2016,6055,MR NH,65+,577
2016,6055,NHPI NH,0–18,98
2016,6055,NHPI NH,19–34,75
2016,6055,NHPI NH,35–64,181
2016,6055,NHPI NH,65+,43
2016,6055,White NH,0–18,11173
2016,6055,White NH,19–34,10936
2016,6055,White NH,35–64,33149
2016,6055,White NH,65+,19973
2016,6057,AIAN NH,0–18,164
2016,6057,AIAN NH,19–34,114
2016,6057,AIAN NH,35–64,272
2016,6057,AIAN NH,65+,148
2016,6057,Asian NH,0–18,199
2016,6057,Asian NH,19–34,229
2016,6057,Asian NH,35–64,660
2016,6057,Asian NH,65+,297
2016,6057,Black NH,0–18,85
2016,6057,Black NH,19–34,123
2016,6057,Black NH,35–64,166
2016,6057,Black NH,65+,62
2016,6057,Hispanic,0–18,3953
2016,6057,Hispanic,19–34,2925
2016,6057,Hispanic,35–64,4461
2016,6057,Hispanic,65+,1384
2016,6057,MR NH,0–18,1755
2016,6057,MR NH,19–34,1128
2016,6057,MR NH,35–64,1470
2016,6057,MR NH,65+,712
2016,6057,NHPI NH,0–18,16
2016,6057,NHPI NH,19–34,21
2016,6057,NHPI NH,35–64,51
2016,6057,NHPI NH,65+,18
2016,6057,White NH,0–18,13454
2016,6057,White NH,19–34,10270
2016,6057,White NH,35–64,34615
2016,6057,White NH,65+,22167
2016,6059,AIAN NH,0–18,1112
2016,6059,AIAN NH,19–34,1510
2016,6059,AIAN NH,35–64,2559
2016,6059,AIAN NH,65+,644
2016,6059,Asian NH,0–18,133187
2016,6059,Asian NH,19–34,144999
2016,6059,Asian NH,35–64,307060
2016,6059,Asian NH,65+,97427
2016,6059,Black NH,0–18,10095
2016,6059,Black NH,19–34,13297
2016,6059,Black NH,35–64,22671
2016,6059,Black NH,65+,4687
2016,6059,Hispanic,0–18,352046
2016,6059,Hispanic,19–34,282044
2016,6059,Hispanic,35–64,346681
2016,6059,Hispanic,65+,53389
2016,6059,MR NH,0–18,48861
2016,6059,MR NH,19–34,28236
2016,6059,MR NH,35–64,28361
2016,6059,MR NH,65+,6963
2016,6059,NHPI NH,0–18,1879
2016,6059,NHPI NH,19–34,2102
2016,6059,NHPI NH,35–64,3514
2016,6059,NHPI NH,65+,663
2016,6059,White NH,0–18,221709
2016,6059,White NH,19–34,247525
2016,6059,White NH,35–64,561581
2016,6059,White NH,65+,245557
2016,6061,AIAN NH,0–18,426
2016,6061,AIAN NH,19–34,351
2016,6061,AIAN NH,35–64,884
2016,6061,AIAN NH,65+,329
2016,6061,Asian NH,0–18,7117
2016,6061,Asian NH,19–34,4613
2016,6061,Asian NH,35–64,14669
2016,6061,Asian NH,65+,4382
2016,6061,Black NH,0–18,1245
2016,6061,Black NH,19–34,1355
2016,6061,Black NH,35–64,2605
2016,6061,Black NH,65+,832
2016,6061,Hispanic,0–18,22574
2016,6061,Hispanic,19–34,14689
2016,6061,Hispanic,35–64,23023
2016,6061,Hispanic,65+,6005
2016,6061,MR NH,0–18,9294
2016,6061,MR NH,19–34,4371
2016,6061,MR NH,35–64,5341
2016,6061,MR NH,65+,1187
2016,6061,NHPI NH,0–18,188
2016,6061,NHPI NH,19–34,186
2016,6061,NHPI NH,35–64,437
2016,6061,NHPI NH,65+,123
2016,6061,White NH,0–18,54220
2016,6061,White NH,19–34,38630
2016,6061,White NH,35–64,108039
2016,6061,White NH,65+,54895
2016,6063,AIAN NH,0–18,110
2016,6063,AIAN NH,19–34,63
2016,6063,AIAN NH,35–64,179
2016,6063,AIAN NH,65+,71
2016,6063,Asian NH,0–18,28
2016,6063,Asian NH,19–34,24
2016,6063,Asian NH,35–64,60
2016,6063,Asian NH,65+,24
2016,6063,Black NH,0–18,31
2016,6063,Black NH,19–34,75
2016,6063,Black NH,35–64,39
2016,6063,Black NH,65+,17
2016,6063,Hispanic,0–18,920
2016,6063,Hispanic,19–34,748
2016,6063,Hispanic,35–64,1015
2016,6063,Hispanic,65+,451
2016,6063,MR NH,0–18,383
2016,6063,MR NH,19–34,182
2016,6063,MR NH,35–64,222
2016,6063,MR NH,65+,134
2016,6063,NHPI NH,0–18,7
2016,6063,NHPI NH,19–34,5
2016,6063,NHPI NH,35–64,10
2016,6063,NHPI NH,65+,4
2016,6063,White NH,0–18,2415
2016,6063,White NH,19–34,1874
2016,6063,White NH,35–64,6220
2016,6063,White NH,65+,4361
2016,6065,AIAN NH,0–18,2924
2016,6065,AIAN NH,19–34,2661
2016,6065,AIAN NH,35–64,4616
2016,6065,AIAN NH,65+,1649
2016,6065,Asian NH,0–18,30752
2016,6065,Asian NH,19–34,35198
2016,6065,Asian NH,35–64,67273
2016,6065,Asian NH,65+,22727
2016,6065,Black NH,0–18,34748
2016,6065,Black NH,19–34,32771
2016,6065,Black NH,35–64,58113
2016,6065,Black NH,65+,17323
2016,6065,Hispanic,0–18,403321
2016,6065,Hispanic,19–34,287606
2016,6065,Hispanic,35–64,379075
2016,6065,Hispanic,65+,66548
2016,6065,MR NH,0–18,33100
2016,6065,MR NH,19–34,17310
2016,6065,MR NH,35–64,17032
2016,6065,MR NH,65+,4558
2016,6065,NHPI NH,0–18,1864
2016,6065,NHPI NH,19–34,1486
2016,6065,NHPI NH,35–64,2677
2016,6065,NHPI NH,65+,627
2016,6065,White NH,0–18,146454
2016,6065,White NH,19–34,129909
2016,6065,White NH,35–64,331114
2016,6065,White NH,65+,204262
2016,6067,AIAN NH,0–18,1584
2016,6067,AIAN NH,19–34,1596
2016,6067,AIAN NH,35–64,3300
2016,6067,AIAN NH,65+,748
2016,6067,Asian NH,0–18,57345
2016,6067,Asian NH,19–34,58048
2016,6067,Asian NH,35–64,103185
2016,6067,Asian NH,65+,33286
2016,6067,Black NH,0–18,36108
2016,6067,Black NH,19–34,33493
2016,6067,Black NH,35–64,53329
2016,6067,Black NH,65+,13734
2016,6067,Hispanic,0–18,138335
2016,6067,Hispanic,19–34,102832
2016,6067,Hispanic,35–64,125026
2016,6067,Hispanic,65+,22535
2016,6067,MR NH,0–18,39037
2016,6067,MR NH,19–34,20489
2016,6067,MR NH,35–64,20804
2016,6067,MR NH,65+,3843
2016,6067,NHPI NH,0–18,3554
2016,6067,NHPI NH,19–34,4426
2016,6067,NHPI NH,35–64,7520
2016,6067,NHPI NH,65+,1910
2016,6067,White NH,0–18,118238
2016,6067,White NH,19–34,126549
2016,6067,White NH,35–64,276967
2016,6067,White NH,65+,112580
2016,6069,AIAN NH,0–18,55
2016,6069,AIAN NH,19–34,46
2016,6069,AIAN NH,35–64,113
2016,6069,AIAN NH,65+,32
2016,6069,Asian NH,0–18,377
2016,6069,Asian NH,19–34,306
2016,6069,Asian NH,35–64,968
2016,6069,Asian NH,65+,298
2016,6069,Black NH,0–18,107
2016,6069,Black NH,19–34,74
2016,6069,Black NH,35–64,242
2016,6069,Black NH,65+,50
2016,6069,Hispanic,0–18,12877
2016,6069,Hispanic,19–34,9072
2016,6069,Hispanic,35–64,14075
2016,6069,Hispanic,65+,2888
2016,6069,MR NH,0–18,538
2016,6069,MR NH,19–34,283
2016,6069,MR NH,35–64,433
2016,6069,MR NH,65+,105
2016,6069,NHPI NH,0–18,21
2016,6069,NHPI NH,19–34,19
2016,6069,NHPI NH,35–64,53
2016,6069,NHPI NH,65+,4
2016,6069,White NH,0–18,3364
2016,6069,White NH,19–34,2503
2016,6069,White NH,35–64,8425
2016,6069,White NH,65+,2759
2016,6071,AIAN NH,0–18,1734
2016,6071,AIAN NH,19–34,2138
2016,6071,AIAN NH,35–64,3464
2016,6071,AIAN NH,65+,1058
2016,6071,Asian NH,0–18,31431
2016,6071,Asian NH,19–34,33431
2016,6071,Asian NH,35–64,72962
2016,6071,Asian NH,65+,22694
2016,6071,Black NH,0–18,46579
2016,6071,Black NH,19–34,42237
2016,6071,Black NH,35–64,63262
2016,6071,Black NH,65+,16085
2016,6071,Hispanic,0–18,403244
2016,6071,Hispanic,19–34,300378
2016,6071,Hispanic,35–64,383103
2016,6071,Hispanic,65+,65282
2016,6071,MR NH,0–18,26684
2016,6071,MR NH,19–34,13634
2016,6071,MR NH,35–64,13551
2016,6071,MR NH,65+,3229
2016,6071,NHPI NH,0–18,1869
2016,6071,NHPI NH,19–34,1458
2016,6071,NHPI NH,35–64,2244
2016,6071,NHPI NH,65+,458
2016,6071,White NH,0–18,114355
2016,6071,White NH,19–34,120812
2016,6071,White NH,35–64,246146
2016,6071,White NH,65+,98599
2016,6073,AIAN NH,0–18,2885
2016,6073,AIAN NH,19–34,3991
2016,6073,AIAN NH,35–64,4650
2016,6073,AIAN NH,65+,1246
2016,6073,Asian NH,0–18,69159
2016,6073,Asian NH,19–34,97603
2016,6073,Asian NH,35–64,162501
2016,6073,Asian NH,65+,49320
2016,6073,Black NH,0–18,31995
2016,6073,Black NH,19–34,44321
2016,6073,Black NH,35–64,54156
2016,6073,Black NH,65+,12040
2016,6073,Hispanic,0–18,377672
2016,6073,Hispanic,19–34,324805
2016,6073,Hispanic,35–64,379988
2016,6073,Hispanic,65+,69763
2016,6073,MR NH,0–18,63286
2016,6073,MR NH,19–34,39586
2016,6073,MR NH,35–64,33089
2016,6073,MR NH,65+,6248
2016,6073,NHPI NH,0–18,2828
2016,6073,NHPI NH,19–34,3603
2016,6073,NHPI NH,35–64,4973
2016,6073,NHPI NH,65+,1140
2016,6073,White NH,0–18,237067
2016,6073,White NH,19–34,350021
2016,6073,White NH,35–64,582739
2016,6073,White NH,65+,252842
2016,6075,AIAN NH,0–18,183
2016,6075,AIAN NH,19–34,564
2016,6075,AIAN NH,35–64,870
2016,6075,AIAN NH,65+,149
2016,6075,Asian NH,0–18,35027
2016,6075,Asian NH,19–34,75934
2016,6075,Asian NH,35–64,127088
2016,6075,Asian NH,65+,54734
2016,6075,Black NH,0–18,7196
2016,6075,Black NH,19–34,11760
2016,6075,Black NH,35–64,20769
2016,6075,Black NH,65+,7149
2016,6075,Hispanic,0–18,30117
2016,6075,Hispanic,19–34,41345
2016,6075,Hispanic,35–64,49970
2016,6075,Hispanic,65+,10924
2016,6075,MR NH,0–18,14624
2016,6075,MR NH,19–34,12199
2016,6075,MR NH,35–64,11188
2016,6075,MR NH,65+,1920
2016,6075,NHPI NH,0–18,779
2016,6075,NHPI NH,19–34,1026
2016,6075,NHPI NH,35–64,1213
2016,6075,NHPI NH,65+,336
2016,6075,White NH,0–18,31413
2016,6075,White NH,19–34,105953
2016,6075,White NH,35–64,161458
2016,6075,White NH,65+,47658
2016,6077,AIAN NH,0–18,708
2016,6077,AIAN NH,19–34,669
2016,6077,AIAN NH,35–64,1329
2016,6077,AIAN NH,65+,369
2016,6077,Asian NH,0–18,30138
2016,6077,Asian NH,19–34,26131
2016,6077,Asian NH,35–64,48215
2016,6077,Asian NH,65+,14494
2016,6077,Black NH,0–18,14360
2016,6077,Black NH,19–34,11694
2016,6077,Black NH,35–64,20748
2016,6077,Black NH,65+,5721
2016,6077,Hispanic,0–18,119881
2016,6077,Hispanic,19–34,80224
2016,6077,Hispanic,35–64,102862
2016,6077,Hispanic,65+,19321
2016,6077,MR NH,0–18,13307
2016,6077,MR NH,19–34,6108
2016,6077,MR NH,35–64,6419
2016,6077,MR NH,65+,1410
2016,6077,NHPI NH,0–18,1044
2016,6077,NHPI NH,19–34,962
2016,6077,NHPI NH,35–64,1971
2016,6077,NHPI NH,65+,521
2016,6077,White NH,0–18,40938
2016,6077,White NH,19–34,37449
2016,6077,White NH,35–64,91874
2016,6077,White NH,65+,40947
2016,6079,AIAN NH,0–18,193
2016,6079,AIAN NH,19–34,308
2016,6079,AIAN NH,35–64,514
2016,6079,AIAN NH,65+,199
2016,6079,Asian NH,0–18,1270
2016,6079,Asian NH,19–34,4561
2016,6079,Asian NH,35–64,2880
2016,6079,Asian NH,65+,1289
2016,6079,Black NH,0–18,552
2016,6079,Black NH,19–34,1647
2016,6079,Black NH,35–64,2379
2016,6079,Black NH,65+,153
2016,6079,Hispanic,0–18,22767
2016,6079,Hispanic,19–34,22433
2016,6079,Hispanic,35–64,21659
2016,6079,Hispanic,65+,4699
2016,6079,MR NH,0–18,3425
2016,6079,MR NH,19–34,4612
2016,6079,MR NH,35–64,2475
2016,6079,MR NH,65+,881
2016,6079,NHPI NH,0–18,62
2016,6079,NHPI NH,19–34,130
2016,6079,NHPI NH,35–64,135
2016,6079,NHPI NH,65+,35
2016,6079,White NH,0–18,27471
2016,6079,White NH,19–34,48704
2016,6079,White NH,35–64,64052
2016,6079,White NH,65+,42196
2016,6081,AIAN NH,0–18,246
2016,6081,AIAN NH,19–34,256
2016,6081,AIAN NH,35–64,547
2016,6081,AIAN NH,65+,201
2016,6081,Asian NH,0–18,39531
2016,6081,Asian NH,19–34,46578
2016,6081,Asian NH,35–64,111897
2016,6081,Asian NH,65+,32642
2016,6081,Black NH,0–18,2922
2016,6081,Black NH,19–34,3734
2016,6081,Black NH,35–64,7912
2016,6081,Black NH,65+,2711
2016,6081,Hispanic,0–18,55277
2016,6081,Hispanic,19–34,43305
2016,6081,Hispanic,35–64,56956
2016,6081,Hispanic,65+,10341
2016,6081,MR NH,0–18,17776
2016,6081,MR NH,19–34,7638
2016,6081,MR NH,35–64,9189
2016,6081,MR NH,65+,1767
2016,6081,NHPI NH,0–18,2527
2016,6081,NHPI NH,19–34,2622
2016,6081,NHPI NH,35–64,3581
2016,6081,NHPI NH,65+,1000
2016,6081,White NH,0–18,52957
2016,6081,White NH,19–34,43996
2016,6081,White NH,35–64,146085
2016,6081,White NH,65+,59876
2016,6083,AIAN NH,0–18,324
2016,6083,AIAN NH,19–34,489
2016,6083,AIAN NH,35–64,732
2016,6083,AIAN NH,65+,270
2016,6083,Asian NH,0–18,3226
2016,6083,Asian NH,19–34,11531
2016,6083,Asian NH,35–64,6803
2016,6083,Asian NH,65+,2750
2016,6083,Black NH,0–18,1200
2016,6083,Black NH,19–34,2473
2016,6083,Black NH,35–64,2322
2016,6083,Black NH,65+,617
2016,6083,Hispanic,0–18,72735
2016,6083,Hispanic,19–34,63510
2016,6083,Hispanic,35–64,60799
2016,6083,Hispanic,65+,12302
2016,6083,MR NH,0–18,4504
2016,6083,MR NH,19–34,5913
2016,6083,MR NH,35–64,2731
2016,6083,MR NH,65+,835
2016,6083,NHPI NH,0–18,161
2016,6083,NHPI NH,19–34,237
2016,6083,NHPI NH,35–64,189
2016,6083,NHPI NH,65+,74
2016,6083,White NH,0–18,27026
2016,6083,White NH,19–34,53211
2016,6083,White NH,35–64,64934
2016,6083,White NH,65+,42379
2016,6085,AIAN NH,0–18,894
2016,6085,AIAN NH,19–34,864
2016,6085,AIAN NH,35–64,1472
2016,6085,AIAN NH,65+,368
2016,6085,Asian NH,0–18,156563
2016,6085,Asian NH,19–34,159992
2016,6085,Asian NH,35–64,346653
2016,6085,Asian NH,65+,82743
2016,6085,Black NH,0–18,8869
2016,6085,Black NH,19–34,12811
2016,6085,Black NH,35–64,19272
2016,6085,Black NH,65+,4011
2016,6085,Hispanic,0–18,157283
2016,6085,Hispanic,19–34,121243
2016,6085,Hispanic,35–64,148041
2016,6085,Hispanic,65+,24254
2016,6085,MR NH,0–18,34355
2016,6085,MR NH,19–34,17085
2016,6085,MR NH,35–64,16537
2016,6085,MR NH,65+,3110
2016,6085,NHPI NH,0–18,2122
2016,6085,NHPI NH,19–34,1650
2016,6085,NHPI NH,35–64,2221
2016,6085,NHPI NH,65+,409
2016,6085,White NH,0–18,101462
2016,6085,White NH,19–34,115429
2016,6085,White NH,35–64,279518
2016,6085,White NH,65+,106683
2016,6087,AIAN NH,0–18,144
2016,6087,AIAN NH,19–34,262
2016,6087,AIAN NH,35–64,451
2016,6087,AIAN NH,65+,99
2016,6087,Asian NH,0–18,1257
2016,6087,Asian NH,19–34,5809
2016,6087,Asian NH,35–64,3930
2016,6087,Asian NH,65+,1472
2016,6087,Black NH,0–18,463
2016,6087,Black NH,19–34,1009
2016,6087,Black NH,35–64,1100
2016,6087,Black NH,65+,253
2016,6087,Hispanic,0–18,33091
2016,6087,Hispanic,19–34,30458
2016,6087,Hispanic,35–64,30803
2016,6087,Hispanic,65+,5772
2016,6087,MR NH,0–18,3612
2016,6087,MR NH,19–34,4569
2016,6087,MR NH,35–64,2540
2016,6087,MR NH,65+,714
2016,6087,NHPI NH,0–18,47
2016,6087,NHPI NH,19–34,90
2016,6087,NHPI NH,35–64,160
2016,6087,NHPI NH,65+,42
2016,6087,White NH,0–18,21751
2016,6087,White NH,19–34,35373
2016,6087,White NH,35–64,62393
2016,6087,White NH,65+,27788
2016,6089,AIAN NH,0–18,1025
2016,6089,AIAN NH,19–34,827
2016,6089,AIAN NH,35–64,1509
2016,6089,AIAN NH,65+,472
2016,6089,Asian NH,0–18,1169
2016,6089,Asian NH,19–34,1605
2016,6089,Asian NH,35–64,2113
2016,6089,Asian NH,65+,557
2016,6089,Black NH,0–18,446
2016,6089,Black NH,19–34,432
2016,6089,Black NH,35–64,654
2016,6089,Black NH,65+,220
2016,6089,Hispanic,0–18,8759
2016,6089,Hispanic,19–34,6205
2016,6089,Hispanic,35–64,8396
2016,6089,Hispanic,65+,2241
2016,6089,MR NH,0–18,4679
2016,6089,MR NH,19–34,2462
2016,6089,MR NH,35–64,2784
2016,6089,MR NH,65+,898
2016,6089,NHPI NH,0–18,69
2016,6089,NHPI NH,19–34,74
2016,6089,NHPI NH,35–64,109
2016,6089,NHPI NH,65+,52
2016,6089,White NH,0–18,27325
2016,6089,White NH,19–34,23220
2016,6089,White NH,35–64,52956
2016,6089,White NH,65+,29029
2016,6091,AIAN NH,0–18,9
2016,6091,AIAN NH,19–34,5
2016,6091,AIAN NH,35–64,18
2016,6091,AIAN NH,65+,10
2016,6091,Asian NH,0–18,1
2016,6091,Asian NH,19–34,2
2016,6091,Asian NH,35–64,5
2016,6091,Asian NH,65+,4
2016,6091,Black NH,0–18,0
2016,6091,Black NH,19–34,1
2016,6091,Black NH,35–64,2
2016,6091,Black NH,65+,1
2016,6091,Hispanic,0–18,186
2016,6091,Hispanic,19–34,83
2016,6091,Hispanic,35–64,171
2016,6091,Hispanic,65+,78
2016,6091,MR NH,0–18,31
2016,6091,MR NH,19–34,22
2016,6091,MR NH,35–64,54
2016,6091,MR NH,65+,13
2016,6091,NHPI NH,19–34,0
2016,6091,NHPI NH,35–64,2
2016,6091,NHPI NH,65+,0
2016,6091,White NH,0–18,381
2016,6091,White NH,19–34,277
2016,6091,White NH,35–64,1154
2016,6091,White NH,65+,710
2016,6093,AIAN NH,0–18,474
2016,6093,AIAN NH,19–34,316
2016,6093,AIAN NH,35–64,625
2016,6093,AIAN NH,65+,277
2016,6093,Asian NH,0–18,186
2016,6093,Asian NH,19–34,143
2016,6093,Asian NH,35–64,360
2016,6093,Asian NH,65+,157
2016,6093,Black NH,0–18,133
2016,6093,Black NH,19–34,137
2016,6093,Black NH,35–64,177
2016,6093,Black NH,65+,104
2016,6093,Hispanic,0–18,2554
2016,6093,Hispanic,19–34,1589
2016,6093,Hispanic,35–64,2284
2016,6093,Hispanic,65+,756
2016,6093,MR NH,0–18,1182
2016,6093,MR NH,19–34,482
2016,6093,MR NH,35–64,664
2016,6093,MR NH,65+,393
2016,6093,NHPI NH,0–18,25
2016,6093,NHPI NH,19–34,19
2016,6093,NHPI NH,35–64,24
2016,6093,NHPI NH,65+,7
2016,6093,White NH,0–18,5628
2016,6093,White NH,19–34,4313
2016,6093,White NH,35–64,12924
2016,6093,White NH,65+,8621
2016,6095,AIAN NH,0–18,342
2016,6095,AIAN NH,19–34,379
2016,6095,AIAN NH,35–64,788
2016,6095,AIAN NH,65+,224
2016,6095,Asian NH,0–18,12065
2016,6095,Asian NH,19–34,13276
2016,6095,Asian NH,35–64,29700
2016,6095,Asian NH,65+,12338
2016,6095,Black NH,0–18,13022
2016,6095,Black NH,19–34,13218
2016,6095,Black NH,35–64,25423
2016,6095,Black NH,65+,7579
2016,6095,Hispanic,0–18,43945
2016,6095,Hispanic,19–34,32527
2016,6095,Hispanic,35–64,42023
2016,6095,Hispanic,65+,7863
2016,6095,MR NH,0–18,12785
2016,6095,MR NH,19–34,6494
2016,6095,MR NH,35–64,6305
2016,6095,MR NH,65+,1140
2016,6095,NHPI NH,0–18,750
2016,6095,NHPI NH,19–34,815
2016,6095,NHPI NH,35–64,1650
2016,6095,NHPI NH,65+,529
2016,6095,White NH,0–18,26262
2016,6095,White NH,19–34,29279
2016,6095,White NH,35–64,70251
2016,6095,White NH,65+,30252
2016,6097,AIAN NH,0–18,764
2016,6097,AIAN NH,19–34,676
2016,6097,AIAN NH,35–64,1468
2016,6097,AIAN NH,65+,430
2016,6097,Asian NH,0–18,3792
2016,6097,Asian NH,19–34,4739
2016,6097,Asian NH,35–64,10661
2016,6097,Asian NH,65+,3198
2016,6097,Black NH,0–18,1565
2016,6097,Black NH,19–34,1985
2016,6097,Black NH,35–64,3475
2016,6097,Black NH,65+,713
2016,6097,Hispanic,0–18,48651
2016,6097,Hispanic,19–34,36470
2016,6097,Hispanic,35–64,46197
2016,6097,Hispanic,65+,7215
2016,6097,MR NH,0–18,8812
2016,6097,MR NH,19–34,5716
2016,6097,MR NH,35–64,6301
2016,6097,MR NH,65+,1623
2016,6097,NHPI NH,0–18,309
2016,6097,NHPI NH,19–34,352
2016,6097,NHPI NH,35–64,947
2016,6097,NHPI NH,65+,247
2016,6097,White NH,0–18,48004
2016,6097,White NH,19–34,52100
2016,6097,White NH,35–64,134812
2016,6097,White NH,65+,70767
2016,6099,AIAN NH,0–18,528
2016,6099,AIAN NH,19–34,594
2016,6099,AIAN NH,35–64,1187
2016,6099,AIAN NH,65+,397
2016,6099,Asian NH,0–18,6901
2016,6099,Asian NH,19–34,7025
2016,6099,Asian NH,35–64,12897
2016,6099,Asian NH,65+,3700
2016,6099,Black NH,0–18,3696
2016,6099,Black NH,19–34,3181
2016,6099,Black NH,35–64,5378
2016,6099,Black NH,65+,1310
2016,6099,Hispanic,0–18,98057
2016,6099,Hispanic,19–34,66962
2016,6099,Hispanic,35–64,84386
2016,6099,Hispanic,65+,15675
2016,6099,MR NH,0–18,8118
2016,6099,MR NH,19–34,4261
2016,6099,MR NH,35–64,4705
2016,6099,MR NH,65+,1269
2016,6099,NHPI NH,0–18,828
2016,6099,NHPI NH,19–34,910
2016,6099,NHPI NH,35–64,1656
2016,6099,NHPI NH,65+,383
2016,6099,White NH,0–18,43149
2016,6099,White NH,19–34,39128
2016,6099,White NH,35–64,86860
2016,6099,White NH,65+,37715
2016,6101,AIAN NH,0–18,193
2016,6101,AIAN NH,19–34,197
2016,6101,AIAN NH,35–64,368
2016,6101,AIAN NH,65+,123
2016,6101,Asian NH,0–18,3558
