Year,FIPS,Race,AgeGroup,Population
2010,6017,NHPI NH,19–34,111
2010,6017,NHPI NH,35–64,263
2010,6017,NHPI NH,65+,40
2010,6017,White NH,0–18,61292
2010,6017,White NH,19–34,41886
2010,6017,White NH,35–64,138317
2010,6017,White NH,65+,48358
2010,6019,AIAN NH,0–18,3386
2010,6019,AIAN NH,19–34,2621
2010,6019,AIAN NH,35–64,5007
2010,6019,AIAN NH,65+,1162
2010,6019,Asian NH,0–18,57281
2010,6019,Asian NH,19–34,47646
2010,6019,Asian NH,35–64,56289
2010,6019,Asian NH,65+,15361
2010,6019,Black NH,0–18,29154
2010,6019,Black NH,19–34,22825
2010,6019,Black NH,35–64,31756
2010,6019,Black NH,65+,7005
2010,6019,Hispanic,0–18,363998
2010,6019,Hispanic,19–34,249197
2010,6019,Hispanic,35–64,276656
2010,6019,Hispanic,65+,49078
2010,6019,MR NH,0–18,14556
2010,6019,MR NH,19–34,7129
2010,6019,MR NH,35–64,7643
2010,6019,MR NH,65+,1809
2010,6019,NHPI NH,0–18,604
2010,6019,NHPI NH,19–34,675
2010,6019,NHPI NH,35–64,783
2010,6019,NHPI NH,65+,140
2010,6019,White NH,0–18,119503
2010,6019,White NH,19–34,120054
2010,6019,White NH,35–64,259335
2010,6019,White NH,65+,112639
2010,6021,AIAN NH,0–18,302
2010,6021,AIAN NH,19–34,203
2010,6021,AIAN NH,35–64,356
2010,6021,AIAN NH,65+,103
2010,6021,Asian NH,0–18,443
2010,6021,Asian NH,19–34,326
2010,6021,Asian NH,35–64,471
2010,6021,Asian NH,65+,124
2010,6021,Black NH,0–18,113
2010,6021,Black NH,19–34,93
2010,6021,Black NH,35–64,146
2010,6021,Black NH,65+,34
2010,6021,Hispanic,0–18,8474
2010,6021,Hispanic,19–34,5467
2010,6021,Hispanic,35–64,6280
2010,6021,Hispanic,65+,964
2010,6021,MR NH,0–18,395
2010,6021,MR NH,19–34,196
2010,6021,MR NH,35–64,245
2010,6021,MR NH,65+,66
2010,6021,NHPI NH,0–18,12
2010,6021,NHPI NH,19–34,10
2010,6021,NHPI NH,35–64,14
2010,6021,NHPI NH,65+,8
2010,6021,White NH,0–18,6890
2010,6021,White NH,19–34,5041
2010,6021,White NH,35–64,13359
2010,6021,White NH,65+,6207
2010,6023,AIAN NH,0–18,4664
2010,6023,AIAN NH,19–34,3435
2010,6023,AIAN NH,35–64,4744
2010,6023,AIAN NH,65+,1175
2010,6023,Asian NH,0–18,1704
2010,6023,Asian NH,19–34,1717
2010,6023,Asian NH,35–64,1968
2010,6023,Asian NH,65+,404
2010,6023,Black NH,0–18,602
2010,6023,Black NH,19–34,1161
2010,6023,Black NH,35–64,917
2010,6023,Black NH,65+,163
2010,6023,Hispanic,0–18,9769
2010,6023,Hispanic,19–34,9059
2010,6023,Hispanic,35–64,6878
2010,6023,Hispanic,65+,1023
2010,6023,MR NH,0–18,4388
2010,6023,MR NH,19–34,2943
2010,6023,MR NH,35–64,3022
2010,6023,MR NH,65+,597
2010,6023,NHPI NH,0–18,191
2010,6023,NHPI NH,19–34,267
2010,6023,NHPI NH,35–64,180
2010,6023,NHPI NH,65+,34
2010,6023,White NH,0–18,37198
2010,6023,White NH,19–34,50638
2010,6023,White NH,35–64,88800
2010,6023,White NH,65+,32169
2010,6025,AIAN NH,0–18,1068
2010,6025,AIAN NH,19–34,705
2010,6025,AIAN NH,35–64,1209
2010,6025,AIAN NH,65+,331
2010,6025,Asian NH,0–18,978
2010,6025,Asian NH,19–34,816
2010,6025,Asian NH,35–64,2146
2010,6025,Asian NH,65+,579
2010,6025,Black NH,0–18,999
2010,6025,Black NH,19–34,3902
2010,6025,Black NH,35–64,4796
2010,6025,Black NH,65+,619
2010,6025,Hispanic,0–18,95999
2010,6025,Hispanic,19–34,66370
2010,6025,Hispanic,35–64,94336
2010,6025,Hispanic,65+,24492
2010,6025,MR NH,0–18,788
2010,6025,MR NH,19–34,398
2010,6025,MR NH,35–64,619
2010,6025,MR NH,65+,217
2010,6025,NHPI NH,0–18,23
2010,6025,NHPI NH,19–34,84
2010,6025,NHPI NH,35–64,56
2010,6025,NHPI NH,65+,20
2010,6025,White NH,0–18,8266
2010,6025,White NH,19–34,8519
2010,6025,White NH,35–64,21174
2010,6025,White NH,65+,10207
2010,6027,AIAN NH,0–18,1120
2010,6027,AIAN NH,19–34,893
2010,6027,AIAN NH,35–64,1369
2010,6027,AIAN NH,65+,417
2010,6027,Asian NH,0–18,88
2010,6027,Asian NH,19–34,68
2010,6027,Asian NH,35–64,248
2010,6027,Asian NH,65+,57
2010,6027,Black NH,0–18,50
2010,6027,Black NH,19–34,74
2010,6027,Black NH,35–64,72
2010,6027,Black NH,65+,8
2010,6027,Hispanic,0–18,2933
2010,6027,Hispanic,19–34,1646
2010,6027,Hispanic,35–64,2234
2010,6027,Hispanic,65+,415
2010,6027,MR NH,0–18,320
2010,6027,MR NH,19–34,143
2010,6027,MR NH,35–64,242
2010,6027,MR NH,65+,67
2010,6027,NHPI NH,0–18,4
2010,6027,NHPI NH,19–34,4
2010,6027,NHPI NH,35–64,22
2010,6027,NHPI NH,65+,0
2010,6027,White NH,0–18,3691
2010,6027,White NH,19–34,3281
2010,6027,White NH,35–64,11508
2010,6027,White NH,65+,6132
2010,6029,AIAN NH,0–18,3095
2010,6029,AIAN NH,19–34,2389
2010,6029,AIAN NH,35–64,5123
2010,6029,AIAN NH,65+,1309
2010,6029,Asian NH,0–18,17330
2010,6029,Asian NH,19–34,14419
2010,6029,Asian NH,35–64,29008
2010,6029,Asian NH,65+,6736
2010,6029,Black NH,0–18,27891
2010,6029,Black NH,19–34,25413
2010,6029,Black NH,35–64,32314
2010,6029,Black NH,65+,5928
2010,6029,Hispanic,0–18,330745
2010,6029,Hispanic,19–34,224823
2010,6029,Hispanic,35–64,240247
2010,6029,Hispanic,65+,33410
2010,6029,MR NH,0–18,13991
2010,6029,MR NH,19–34,6464
2010,6029,MR NH,35–64,7857
2010,6029,MR NH,65+,1854
2010,6029,NHPI NH,0–18,581
2010,6029,NHPI NH,19–34,562
2010,6029,NHPI NH,35–64,784
2010,6029,NHPI NH,65+,114
2010,6029,White NH,0–18,144000
2010,6029,White NH,19–34,129378
2010,6029,White NH,35–64,274007
2010,6029,White NH,65+,101791
2010,6031,AIAN NH,0–18,789
2010,6031,AIAN NH,19–34,635
2010,6031,AIAN NH,35–64,1025
2010,6031,AIAN NH,65+,182
2010,6031,Asian NH,0–18,2471
2010,6031,Asian NH,19–34,2677
2010,6031,Asian NH,35–64,4579
2010,6031,Asian NH,65+,1145
2010,6031,Black NH,0–18,3474
2010,6031,Black NH,19–34,6103
2010,6031,Black NH,35–64,10276
2010,6031,Black NH,65+,969
2010,6031,Hispanic,0–18,56733
2010,6031,Hispanic,19–34,43991
2010,6031,Hispanic,35–64,48192
2010,6031,Hispanic,65+,7034
2010,6031,MR NH,0–18,3210
2010,6031,MR NH,19–34,1687
2010,6031,MR NH,35–64,1206
2010,6031,MR NH,65+,192
2010,6031,NHPI NH,0–18,106
2010,6031,NHPI NH,19–34,162
2010,6031,NHPI NH,35–64,174
2010,6031,NHPI NH,65+,27
2010,6031,White NH,0–18,22632
2010,6031,White NH,19–34,26677
2010,6031,White NH,35–64,44497
2010,6031,White NH,65+,14492
2010,6033,AIAN NH,0–18,951
2010,6033,AIAN NH,19–34,619
2010,6033,AIAN NH,35–64,1238
2010,6033,AIAN NH,65+,304
2010,6033,Asian NH,0–18,241
2010,6033,Asian NH,19–34,282
2010,6033,Asian NH,35–64,737
2010,6033,Asian NH,65+,180
2010,6033,Black NH,0–18,429
